Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	modified	bibliographicCitation	references	identifier	title	datasetID.y	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI	row_id	Project.Request	Point.of.Contact.for.Submission	Email	Common.Name	Survey.Type
ACANTHINA	R00643	377980	urn:lsid:marinespecies.org:taxname:377980	urn:lsid:marinespecies.org:taxname:377980	urn:lsid:marinespecies.org:taxname:377980	urn:lsid:marinespecies.org:taxname:225324	Acanthina	Acanthina	Ocenebrinae	Fischer von Waldheim, G. (1807). <i>Museum Demidoff, ou, Catalogue systématique et raisonné des curiosités de la nature et de l'art: données à l'Université Impériale de Moscou par son excellence Monsieur Paul de Demidoff. Tome III. Végétaux et Animaux</i>. Moscow: Imprimerie de Université Impériale de Moscou. 300 pp, 6 pls. 	1807	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Acanthina	NA	NA	NA	Genus	Fischer von Waldheim, 1807	accepted	2017-05-16	MolluscaBase eds. (2024). MolluscaBase. Acanthina Fischer von Waldheim, 1807. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=377980	https://www.marinespecies.org/aphia.php?p=taxdetails&id=377980	NA	NA	NA	377980	225324	NA	NA	NA	R00643	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
ACIDOSTOMA	R03243	101586	urn:lsid:marinespecies.org:taxname:101586	urn:lsid:marinespecies.org:taxname:101586	urn:lsid:marinespecies.org:taxname:101586	urn:lsid:marinespecies.org:taxname:597741	Acidostoma	Acidostoma	Acidostomatidae	Lilljeborg W. (1865a). Bidrag till kannedomen om underfamiljen Lysianassina inom underordningen Amphipoda bland kraftdjuren. Nova Acta Regiae Societatis Scientarum Upsaliensis, Ser. 3.	1865	Animalia	Arthropoda	Malacostraca	Amphipoda	Acidostomatidae	Acidostoma	NA	NA	NA	Genus	Lilljeborg, 1865	accepted	2021-05-31	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Acidostoma Lilljeborg, 1865. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101586	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101586	NA	NA	NA	101586	597741	NA	NA	NA	R03243	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
ACMIRA	R03250	157129	urn:lsid:marinespecies.org:taxname:157129	urn:lsid:marinespecies.org:taxname:157129	urn:lsid:marinespecies.org:taxname:325584	urn:lsid:marinespecies.org:taxname:903	Acmira	Aricidea (Acmira)	Paraonidae	Hartley, J.P. (1981). The family Paraonidae (Polychaeta) in British waters: a new species and new records with a key to species. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 61(01): 133-149.	1981	Animalia	Annelida	Polychaeta	NA	Paraonidae	Acmira	NA	NA	NA	Genus	Hartley, 1981	unaccepted	2011-04-05	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Acmira Hartley, 1981. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157129	https://www.marinespecies.org/aphia.php?p=taxdetails&id=157129	NA	NA	NA	325584	903	NA	NCBI:txid251440	NA	R03250	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
ADYTE	R03272	129475	urn:lsid:marinespecies.org:taxname:129475	urn:lsid:marinespecies.org:taxname:129475	urn:lsid:marinespecies.org:taxname:129475	urn:lsid:marinespecies.org:taxname:767051	Adyte	Adyte	Arctonoinae	Saint-Joseph, Arthur d'Anthoine de. (1899). Annélides polychètes de la rade de Brest et de Paimpol. <em>Annales des Sciences Naturelles, Zoologie et Paléontologie, Série 8.</em> 10: 161-194, plate VI.	1899	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Adyte	NA	NA	NA	Genus	Saint-Joseph, 1899	accepted	2024-07-11	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Adyte Saint-Joseph, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129475	https://www.marinespecies.org/aphia.php?p=taxdetails&id=129475	NA	NA	NA	129475	767051	NA	NA	NA	R03272	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
AEDICIRA	R03274	129429	urn:lsid:marinespecies.org:taxname:129429	urn:lsid:marinespecies.org:taxname:129429	urn:lsid:marinespecies.org:taxname:325585	urn:lsid:marinespecies.org:taxname:903	Aedicira	Aricidea (Aedicira)	Paraonidae	NA	NA	Animalia	Annelida	Polychaeta	NA	Paraonidae	Aedicira	NA	NA	NA	Genus	Hartman, 1957	alternative representation	2023-05-25	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Aedicira Hartman, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129429	https://www.marinespecies.org/aphia.php?p=taxdetails&id=129429	NA	NA	NA	325585	903	NA	NCBI:txid251440	NA	R03274	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
AEGINA	R08913	116994	urn:lsid:marinespecies.org:taxname:116994	urn:lsid:marinespecies.org:taxname:116994	urn:lsid:marinespecies.org:taxname:116994	urn:lsid:marinespecies.org:taxname:16846	Aegina	Aegina	Aeginidae	Eschscholtz, F. (1829). System der Acalephen. Eine ausführliche Beschreibung aller medusenartigen Strahltiere. Ferdinand Dümmler, Berlin, pp. 1-190, 116 pls.	1829	Animalia	Cnidaria	Hydrozoa	Narcomedusae	Aeginidae	Aegina	NA	NA	NA	Genus	Eschscholtz, 1829	accepted	2016-01-21	Schuchert, P. (2024). World Hydrozoa Database. Aegina Eschscholtz, 1829. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=116994	https://www.marinespecies.org/aphia.php?p=taxdetails&id=116994	NA	NA	NA	116994	16846	NA	NCBI:txid168708	NA	R08913	EcoFOCI Zooplankton	David Kimmel	david.kimmel@noaa.gov	NA	Encountered
AGLAJA	R03280	137637	urn:lsid:marinespecies.org:taxname:137637	urn:lsid:marinespecies.org:taxname:137637	urn:lsid:marinespecies.org:taxname:137637	urn:lsid:marinespecies.org:taxname:22981	Aglaja	Aglaja	Aglajidae	Renier, S.A. (1807). Tavole per servire alla classificazione e conoscenza degli animali, [1] + pl. I-VIII. Note: work placed on the Official Index of Rejected and Invalid Works in Zoological Nomenclature by ICZN Opinion 427 (1956). Padova (Tipografia del Seminario)	1807	Animalia	Mollusca	Gastropoda	Cephalaspidea	Aglajidae	Aglaja	NA	NA	NA	Genus	Renier, 1807	accepted	2018-01-19	MolluscaBase eds. (2024). MolluscaBase. Aglaja Renier, 1807. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137637	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137637	NA	NA	NA	137637	22981	NA	NCBI:txid195876	NA	R03280	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
ALABINA	R00694	565618	urn:lsid:marinespecies.org:taxname:565618	urn:lsid:marinespecies.org:taxname:565618	urn:lsid:marinespecies.org:taxname:565618	urn:lsid:marinespecies.org:taxname:411649	Alabina	Alabina	Bittiinae	Dall, W. H. (1902). Note on the names <i>Elachista</i> and <i>Pleurotomaria</i>. <em>The Nautilus.</em> 15(11): 127.	1902	Animalia	Mollusca	Gastropoda	Caenogastropoda incertae sedis	Cerithiidae	Alabina	NA	NA	NA	Genus	Dall, 1902	accepted	2018-06-23	MolluscaBase eds. (2024). MolluscaBase. Alabina Dall, 1902. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=565618	https://www.marinespecies.org/aphia.php?p=taxdetails&id=565618	NA	NA	NA	565618	411649	NA	NA	NA	R00694	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
ALCYONIDIUM	R00697	110993	urn:lsid:marinespecies.org:taxname:110993	urn:lsid:marinespecies.org:taxname:110993	urn:lsid:marinespecies.org:taxname:110993	urn:lsid:marinespecies.org:taxname:110783	Alcyonidium	Alcyonidium	Alcyonidiidae	Lamouroux, J. V. F. (1813). Essai sur les genres de la famille des thalassiophytes non articulées. <em>Annales du Muséum d'Histoire Naturelle [Paris].</em> 20: 21-47, 115-139, 267-293.	1813	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidium	NA	NA	NA	Genus	Lamouroux, 1813	accepted	2022-05-26	WoRMS (2024). Alcyonidium Lamouroux, 1813. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110993	https://www.marinespecies.org/aphia.php?p=taxdetails&id=110993	NA	NA	NA	110993	110783	NA	NCBI:txid97263	NA	R00697	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
ALCYONIUM	R03295	125284	urn:lsid:marinespecies.org:taxname:125284	urn:lsid:marinespecies.org:taxname:125284	urn:lsid:marinespecies.org:taxname:125284	urn:lsid:marinespecies.org:taxname:125269	Alcyonium	Alcyonium	Alcyoniidae	Linnaeus, C. (1758). Systema Naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. <em>Editio decima, reformata [10th revised edition], vol. 1: 824 pp. Laurentius Salvius: Holmiae.</em> 	1758	Animalia	Cnidaria	Octocorallia	Malacalcyonacea	Alcyoniidae	Alcyonium	NA	NA	NA	Genus	Linnaeus, 1758	accepted	2016-10-20	WoRMS (2024). Alcyonium Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125284	https://www.marinespecies.org/aphia.php?p=taxdetails&id=125284	NA	NA	NA	125284	125269	NA	NCBI:txid40678	NA	R03295	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
